lat_cell,lon_cell,erc,fm100,fm1000,tmmx,vpd,vs
25.1,-81.1,17.649401,18.498162,20.380353,302.374994,0.760175,4.657009
25.1,-81.0,17.575644,18.542168,20.418422,302.289511,0.741681,4.706243
25.1,-80.9,17.784701,18.478276,20.361518,302.317035,0.756079,4.719204
25.1,-80.8,18.321764,18.262504,20.156858,302.36283,0.800286,4.787062
25.1,-80.7,19.122059,17.98368,19.86766,302.336629,0.831874,4.576756
25.1,-80.6,20.020439,17.692938,19.543908,302.215819,0.848963,4.31785
25.1,-80.5,21.601931,17.256238,19.029551,302.254941,0.898235,4.292516
25.1,-80.4,21.942947,17.182638,18.954756,302.380496,0.913256,4.394628
25.1,-80.3,21.320119,17.353619,19.164493,302.149395,0.861941,4.513799
25.2,-81.2,24.613488,16.963902,18.926291,302.415838,1.022158,5.100801
25.2,-81.1,17.13083,18.567573,20.577007,302.250318,0.755807,4.392035
25.2,-81.0,17.171808,18.565006,20.59662,302.250572,0.76041,4.435249
25.2,-80.9,17.225754,18.56458,20.572287,302.288016,0.755645,4.551368
25.2,-80.8,17.139094,18.559337,20.637456,302.400803,0.764065,4.699784
25.2,-80.7,17.281452,18.471963,20.591531,302.37517,0.774351,4.504439
25.2,-80.6,18.042176,18.216714,20.310965,302.281444,0.809008,4.357046
25.2,-80.5,19.256353,17.840417,19.888416,302.212098,0.848271,4.435958
25.2,-80.4,20.423319,17.51725,19.515999,302.274179,0.879443,4.629347
25.2,-80.3,21.172281,17.336914,19.270309,302.238845,0.892251,4.909858
25.3,-81.2,24.389981,17.003637,18.969755,302.416744,1.016839,5.055626
25.3,-81.1,16.915443,18.584096,20.646564,302.259914,0.762024,4.165772
25.3,-81.0,16.916565,18.604619,20.694348,302.245305,0.759134,4.199903
25.3,-80.9,16.839997,18.64891,20.757197,302.392037,0.759155,4.328712
25.3,-80.8,16.651025,18.704291,20.908272,302.790529,0.771181,4.458247
25.3,-80.7,16.792476,18.66248,20.845472,302.779962,0.76788,4.444651
25.3,-80.6,17.166232,18.532759,20.721673,302.540155,0.778221,4.495932
25.3,-80.5,18.159687,18.177403,20.379872,302.386434,0.824938,4.713923
25.3,-80.4,18.800046,17.877972,20.114745,302.180919,0.849814,4.953304
25.3,-80.3,20.263366,17.478325,19.589226,302.266904,0.900313,5.162
25.3,-80.2,20.401432,17.440938,19.462574,302.307444,0.912764,5.267907
25.4,-81.2,21.738096,17.54638,19.555182,302.362629,0.925416,4.605702
25.4,-81.1,16.849788,18.56495,20.666731,302.322232,0.775509,4.045652
25.4,-81.0,16.497127,18.656494,20.880447,302.625109,0.790113,4.060282
25.4,-80.9,16.578887,18.685686,20.915312,302.98713,0.797189,4.120754
25.4,-80.8,16.656513,18.699702,20.911229,303.094936,0.784057,4.175542
25.4,-80.7,16.53252,18.787955,20.9864,303.100745,0.74522,4.217517
25.4,-80.6,16.555032,18.751281,21.00425,302.943033,0.760827,4.417878
25.4,-80.5,16.9967,18.501488,20.823632,302.640937,0.807299,4.658477
25.4,-80.4,17.887914,18.121646,20.486139,302.244606,0.831553,4.81497
25.4,-80.3,19.077922,17.72248,20.012597,302.010923,0.861944,4.87943
25.4,-80.2,19.52408,17.621491,19.77269,302.15494,0.87818,4.924299
25.4,-80.1,18.839864,17.891138,19.983073,301.64987,0.781085,4.846606
25.5,-81.3,17.741501,18.34205,20.304001,302.542365,0.798463,3.943304
25.5,-81.2,17.365174,18.434512,20.472956,302.433009,0.791267,3.889737
25.5,-81.1,16.60406,18.604185,20.824865,302.569066,0.793002,3.900911
25.5,-81.0,16.37663,18.683674,20.966371,303.150706,0.812326,3.944889
25.5,-80.9,16.452643,18.685182,20.94338,303.223998,0.806716,3.959618
25.5,-80.8,16.554716,18.689914,20.893834,303.006551,0.782039,3.893246
25.5,-80.7,16.63587,18.675529,20.926621,303.108021,0.798609,3.853899
25.5,-80.6,16.279787,18.764118,21.091838,302.80766,0.769389,3.995604
25.5,-80.5,16.527236,18.61113,20.992913,302.363503,0.780507,4.145209
25.5,-80.4,17.423793,18.17474,20.656066,302.054402,0.82543,4.219701
25.5,-80.3,18.322009,17.887252,20.277863,301.553565,0.809331,4.245969
25.5,-80.2,19.210426,17.691604,19.898457,301.779632,0.834636,4.497167
